;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
26;Zoltan Boros & Gabor Szikszai;black;79;['R'];['R'];The people of Terisiare had come to live on frozen fields as though on solid ground. Nothing reminded them of the difference more clearly than the rifts brought on by the Thaw.;{'small': 'https://img.scryfall.com/cards/small/en/csp/79.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/79.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/79.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/79.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/79.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/79.jpg?1517813031'};{2}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Cryoclasm;Destroy target Plains or Island. Cryoclasm deals 3 damage to that land's controller.;uncommon;Sorcery;csp;Coldsnap;;
27;Michael Phillippi;black;4;['W'];['W'];"""With his dream of unification fulfilled, Darien became the last king of Kjeldor. Those who followed were known as the kings of New Argive."" —Kjeldor: Ice Civilization";{'small': 'https://img.scryfall.com/cards/small/en/csp/4.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/4.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/4.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/4.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/4.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/4.jpg?1517813031'};{4}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Darien, King of Kjeldor;Whenever you're dealt damage, you may create that many 1/1 white Soldier creature tokens.;rare;Legendary Creature — Human Soldier;csp;Coldsnap;3;3
28;Stephan Martiniere;black;145;[];[];;{'small': 'https://img.scryfall.com/cards/small/en/csp/145.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/145.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/145.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/145.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/145.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/145.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'banned', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Dark Depths;"Dark Depths enters the battlefield with ten ice counters on it.
{3}: Remove an ice counter from Dark Depths.
When Dark Depths has no ice counters on it, sacrifice it. If you do, create a legendary 20/20 black Avatar creature token with flying and indestructible named Marit Lage.";rare;Legendary Snow Land;csp;Coldsnap;;
29;Jeremy Jarvis;black;54;['B'];['B'];"""I hope it's true that every snowflake is unique, because I never want to see one like this again. Now clean up that body."" —Thangbrand Gyrdsson, Kjeldoran patrol";{'small': 'https://img.scryfall.com/cards/small/en/csp/54.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/54.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/54.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/54.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/54.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/54.jpg?1517813031'};{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Deathmark;Destroy target green or white creature.;uncommon;Sorcery;csp;Coldsnap;;
30;Joel Thomas;black;127;['B', 'R'];['B', 'R'];"""There are deep, deep places in this world that have long burned hot with little regard for the whitening of the earth's thin skin."" —Sek'Kuar, Deathkeeper";{'small': 'https://img.scryfall.com/cards/small/en/csp/127.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/127.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/127.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/127.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/127.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/127.jpg?1517813031'};{4}{B}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Deepfire Elemental;{X}{X}{1}: Destroy target artifact or creature with converted mana cost X.;uncommon;Creature — Elemental;csp;Coldsnap;4;4
31;Heather Hudson;black;128;['G', 'U', 'W'];['G', 'U', 'W'];"""That such delicate creatures could become so powerful in the embrace of winter is yet more proof that I am right."" —Heidar, Rimewind master";{'small': 'https://img.scryfall.com/cards/small/en/csp/128.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/128.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/128.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/128.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/128.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/128.jpg?1517813031'};{2}{G}{W}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Diamond Faerie;"Flying
{1}{S}: Snow creatures you control get +1/+1 until end of turn. ({S} can be paid with one mana from a snow permanent.)";rare;Snow Creature — Faerie;csp;Coldsnap;3;3
32;Pete Venters;black;55;['B'];['B'];"""You pray to Freyalise, but she cannot hear your pleas. It is Tevesh Szat who will claim your soul.""";{'small': 'https://img.scryfall.com/cards/small/en/csp/55.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/55.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/55.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/55.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/55.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/55.jpg?1517813031'};{2}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Disciple of Tevesh Szat;"{T}: Target creature gets -1/-1 until end of turn.
{4}{B}{B}, {T}, Sacrifice Disciple of Tevesh Szat: Target creature gets -6/-6 until end of turn.";common;Creature — Human Cleric;csp;Coldsnap;3;1
33;Zoltan Boros & Gabor Szikszai;black;32;['U'];['U'];Adarkar's blank wastes make the mind wander—and stray thoughts are quickly caught and devoured.;{'small': 'https://img.scryfall.com/cards/small/en/csp/32.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/32.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/32.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/32.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/32.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/32.jpg?1517813031'};{4}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Drelnoch;Whenever Drelnoch becomes blocked, you may draw two cards.;common;Creature — Yeti Mutant;csp;Coldsnap;3;3
34;Nick Percival;black;80;['G', 'R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/80.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/80.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/80.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/80.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/80.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/80.jpg?1517813031'};{2}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Earthen Goo;"Trample
Cumulative upkeep {R} or {G} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
Earthen Goo gets +1/+1 for each age counter on it.";uncommon;Creature — Ooze;csp;Coldsnap;2;2
35;Volkan Baga;black;56;['B'];['B'];"""Starving an army that feeds on its enemies is a sound strategy."" —Garza Zol, plague queen";{'small': 'https://img.scryfall.com/cards/small/en/csp/56.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/56.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/56.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/56.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/56.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/56.jpg?1517813031'};{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Feast of Flesh;Feast of Flesh deals X damage to target creature and you gain X life, where X is 1 plus the number of cards named Feast of Flesh in all graveyards.;common;Sorcery;csp;Coldsnap;;
36;Stephen Tappin;black;5;['W'];['W'];The Knights of Stromgald struck Darien's Roost from two sides. They would have caught Kjeldor in a pincer attack were it not for Darien's tacticians.;{'small': 'https://img.scryfall.com/cards/small/en/csp/5.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/5.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/5.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/5.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/5.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/5.jpg?1517813031'};{1}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Field Marshal;Other Soldier creatures get +1/+1 and have first strike. (They deal combat damage before creatures without first strike.);rare;Creature — Human Soldier;csp;Coldsnap;2;2
37;Brian Despain;black;33;['U'];['U'];"""Nature? Fire? Bah! Both are chaotic and difficult to control. Ice is structured, latticed, light as a feather, massive as a glacier. In ice, there is power!"" —Heidar, Rimewind master";{'small': 'https://img.scryfall.com/cards/small/en/csp/33.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/33.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/33.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/33.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/33.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/33.jpg?1517813031'};{1}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Flashfreeze;Counter target red or green spell.;uncommon;Instant;csp;Coldsnap;;
38;Thomas M. Baxa;black;108;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/108.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/108.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/108.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/108.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/108.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/108.jpg?1517813031'};{1}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Freyalise's Radiance;"Cumulative upkeep {2} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
Snow permanents don't untap during their controllers' untap steps.";uncommon;Enchantment;csp;Coldsnap;;
39;Jim Pavelec;black;146;['B', 'U'];[];"""Now caged in Winter's bitter chill, Our people cry, their voices shrill— Eternal cold breaks down their will."" —The Dynasty of Winter Kings";{'small': 'https://img.scryfall.com/cards/small/en/csp/146.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/146.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/146.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/146.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/146.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/146.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Frost Marsh;"Frost Marsh enters the battlefield tapped.
{T}: Add {U} or {B}.";uncommon;Snow Land;csp;Coldsnap;;
40;Lars Grant-West;black;34;['U'];['U'];The Rimewind wizards strove to perpetuate a magical winter. Their unnatural snows birthed unnatural beasts.;{'small': 'https://img.scryfall.com/cards/small/en/csp/34.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/34.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/34.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/34.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/34.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/34.jpg?1517813031'};{2}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Frost Raptor;"Flying
{S}{S}: Frost Raptor gains shroud until end of turn. ({S} can be paid with one mana from a snow permanent. A creature with shroud can't be the target of spells or abilities.)";common;Snow Creature — Bird;csp;Coldsnap;2;2
41;Greg Hildebrandt;black;109;['G'];['G'];Its white webs glitter, mimicking the frost on the tree's branches.;{'small': 'https://img.scryfall.com/cards/small/en/csp/109.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/109.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/109.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/109.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/109.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/109.jpg?1517813031'};{2}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Frostweb Spider;"Reach (This creature can block creatures with flying.)
Whenever Frostweb Spider blocks a creature with flying, put a +1/+1 counter on Frostweb Spider at end of combat.";common;Snow Creature — Spider;csp;Coldsnap;1;3
42;Ralph Horsley;black;35;['U'];['U'];"""Guard, fetch me a mallet."" —Heidar, Rimewind master";{'small': 'https://img.scryfall.com/cards/small/en/csp/35.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/35.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/35.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/35.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/35.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/35.jpg?1517813031'};{1}{U}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Frozen Solid;"Enchant creature
Enchanted creature doesn't untap during its controller's untap step.
When enchanted creature is dealt damage, destroy it.";common;Enchantment — Aura;csp;Coldsnap;;
43;Stephen Tappin;black;81;['R'];['R'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/81.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/81.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/81.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/81.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/81.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/81.jpg?1517813031'};{5}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Fury of the Horde;"You may exile two red cards from your hand rather than pay this spell's mana cost.
Untap all creatures that attacked this turn. After this main phase, there is an additional combat phase followed by an additional main phase.";rare;Sorcery;csp;Coldsnap;;
44;Paolo Parente;black;57;['B'];['B'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/57.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/57.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/57.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/57.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/57.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/57.jpg?1517813031'};{B}{B}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Garza's Assassin;"Sacrifice Garza's Assassin: Destroy target nonblack creature.
Recover—Pay half your life, rounded up. (When another creature is put into your graveyard from the battlefield, you may pay half your life, rounded up. If you do, return this card from your graveyard to your hand. Otherwise, exile this card.)";rare;Creature — Human Assassin;csp;Coldsnap;2;2
45;Darrell Riche;black;129;['B', 'R', 'U'];['B', 'R', 'U'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/129.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/129.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/129.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/129.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/129.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/129.jpg?1517813031'};{4}{U}{B}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Garza Zol, Plague Queen;"Flying, haste
Whenever a creature dealt damage by Garza Zol, Plague Queen this turn dies, put a +1/+1 counter on Garza Zol.
Whenever Garza Zol deals combat damage to a player, you may draw a card.";rare;Legendary Creature — Vampire;csp;Coldsnap;5;5
46;Alex Horley-Orlandelli;black;6;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/6.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/6.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/6.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/6.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/6.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/6.jpg?1517813031'};{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Gelid Shackles;"Enchant creature
Enchanted creature can't block, and its activated abilities can't be activated.
{S}: Enchanted creature gains defender until end of turn. ({S} can be paid with one mana from a snow permanent.)";common;Snow Enchantment — Aura;csp;Coldsnap;;
47;Brian Despain;black;7;['W'];['W'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/7.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/7.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/7.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/7.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/7.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/7.jpg?1517813031'};{2}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Glacial Plating;"Enchant creature
Cumulative upkeep {S} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it. {S} can be paid with one mana from a snow permanent.)
Enchanted creature gets +3/+3 for each age counter on Glacial Plating.";uncommon;Snow Enchantment — Aura;csp;Coldsnap;;
48;Warren Mahy;black;82;['R'];['R'];Clambering up and over the powdery slope, the goblin chanced upon a small furry thing. There they regarded each other: the goblin and his new pair of earmuffs.;{'small': 'https://img.scryfall.com/cards/small/en/csp/82.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/82.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/82.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/82.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/82.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/82.jpg?1517813031'};{1}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Goblin Furrier;Prevent all damage that Goblin Furrier would deal to snow creatures.;common;Creature — Goblin Warrior;csp;Coldsnap;2;2
49;Christopher Rush;black;83;['R'];['R'];Rimerunners set off avalanches to immobilize foes as well as to create more challenging slopes.;{'small': 'https://img.scryfall.com/cards/small/en/csp/83.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/83.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/83.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/83.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/83.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/83.jpg?1517813031'};{2}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Goblin Rimerunner;"{T}: Target creature can't block this turn.
{S}: Goblin Rimerunner gains haste until end of turn. ({S} can be paid with one mana from a snow permanent.)";common;Snow Creature — Goblin Warrior;csp;Coldsnap;2;2
50;Yokota Katsumi;black;84;['R'];['R'];Having charted their way up the difficult face, the two mountaineers had to contend with the mountain's decision to stand up.;{'small': 'https://img.scryfall.com/cards/small/en/csp/84.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/84.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/84.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/84.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/84.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/84.jpg?1517813031'};{4}{R}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Greater Stone Spirit;"Greater Stone Spirit can't be blocked by creatures with flying.
{2}{R}: Until end of turn, target creature gets +0/+2 and gains ""{R}: This creature gets +1/+0 until end of turn.""";uncommon;Creature — Elemental Spirit;csp;Coldsnap;4;4
